var_name,label,var_lower,label_lower
R06_AG1043TC_D,R06_AG1043TC_D: Amount usually paid for a single traditional cigar - Dollars,r06_ag1043tc_d,r06_ag1043tc_d: amount usually paid for a single traditional cigar - dollars
R06_AG1043TC_C,R06_AG1043TC_C: Amount usually paid for a single traditional cigar - Cents,r06_ag1043tc_c,r06_ag1043tc_c: amount usually paid for a single traditional cigar - cents
R06_AG9040TC,R06_AG9040TC: Group in picture most like traditional cigar usually/last smoked,r06_ag9040tc,r06_ag9040tc: group in picture most like traditional cigar usually/last smoked
R06_AG1047TC,R06_AG1047TC: Have a regular brand of traditional cigars you usually smoke/smoke,r06_ag1047tc,r06_ag1047tc: have a regular brand of traditional cigars you usually smoke/smoke
R06_AG1050TC,R06_AG1050TC: Regular/last brand of traditional cigars smoked was flavored to ta,r06_ag1050tc,r06_ag1050tc: regular/last brand of traditional cigars smoked was flavored to ta
R06_AG1012TC_01,R06_AG1012TC_01: Traditional cigar flavor usually/last smoked: Menthol,r06_ag1012tc_01,r06_ag1012tc_01: traditional cigar flavor usually/last smoked: menthol
R06_AG1012TC_02,R06_AG1012TC_02: Traditional cigar flavor usually/last smoked: Mint,r06_ag1012tc_02,r06_ag1012tc_02: traditional cigar flavor usually/last smoked: mint
R06_AG1012TC_03,R06_AG1012TC_03: Traditional cigar flavor usually/last smoked: Clove or spice,r06_ag1012tc_03,r06_ag1012tc_03: traditional cigar flavor usually/last smoked: clove or spice
R06_AG1012TC_04,R06_AG1012TC_04: Traditional cigar flavor usually/last smoked: Fruit,r06_ag1012tc_04,r06_ag1012tc_04: traditional cigar flavor usually/last smoked: fruit
R06_AG1012TC_05,R06_AG1012TC_05: Traditional cigar flavor usually/last smoked: Chocolate,r06_ag1012tc_05,r06_ag1012tc_05: traditional cigar flavor usually/last smoked: chocolate
R06_AG1012TC_06,R06_AG1012TC_06: Traditional cigar flavor usually/last smoked: An alcoholic drin,r06_ag1012tc_06,r06_ag1012tc_06: traditional cigar flavor usually/last smoked: an alcoholic drin
