wave,var_name,label,var_lower,label_lower
W6,R06_AC9010_RANDOM_04,R06_AC9010_RANDOM_04: AC9010 series random question 4,r06_ac9010_random_04,r06_ac9010_random_04: ac9010 series random question 4
W6,R06_AC9010,"R06_AC9010: In choosing regular brand of cigarettes, part of your decision was b",r06_ac9010,"r06_ac9010: in choosing regular brand of cigarettes, part of your decision was b"
W6,R06_AC9011,"R06_AC9011: In choosing regular brand of cigarettes, part of your decision was b",r06_ac9011,"r06_ac9011: in choosing regular brand of cigarettes, part of your decision was b"
W6,R06_AC9014,"R06_AC9014: In choosing regular brand of cigarettes, part of your decision was b",r06_ac9014,"r06_ac9014: in choosing regular brand of cigarettes, part of your decision was b"
W6,R06_AC9015,"R06_AC9015: In choosing regular brand of cigarettes, part of your decision was b",r06_ac9015,"r06_ac9015: in choosing regular brand of cigarettes, part of your decision was b"
W6,R06_AC9019,R06_AC9019: Perception of harmfulness of usual brand of cigarettes you smoke com,r06_ac9019,r06_ac9019: perception of harmfulness of usual brand of cigarettes you smoke com
W6,R06_AC1144,R06_AC1144: Self-perception of harmfulness of smoking cigarettes to own health,r06_ac1144,r06_ac1144: self-perception of harmfulness of smoking cigarettes to own health
W6,R06_AC0105,R06_AC0105: Brand of cigarette last smoked when used both manufactured cigarette,r06_ac0105,r06_ac0105: brand of cigarette last smoked when used both manufactured cigarette
W6,R06_AC0104,R06_AC0104: Brand of very last cigarette smoked is same as brand regularly/last,r06_ac0104,r06_ac0104: brand of very last cigarette smoked is same as brand regularly/last
W6,R06R_A_AV1006,R06R_A_AV1006: DERIVED - Age group you were in when you first used an electronic,r06r_a_av1006,r06r_a_av1006: derived - age group you were in when you first used an electronic
W6,R06_AV1005,R06_AV1005: Number of times used electronic nicotine product in entire life,r06_av1005,r06_av1005: number of times used electronic nicotine product in entire life
W6,R06_AV1100,R06_AV1100: Ever used electronic nicotine products fairly regularly,r06_av1100,r06_av1100: ever used electronic nicotine products fairly regularly
W6,R06R_A_AV1007,R06R_A_AV1007: DERIVED - Age group you were in when you first started using elec,r06r_a_av1007,r06r_a_av1007: derived - age group you were in when you first started using elec
W6,R06R_A_AV1020,R06R_A_AV1020: DERIVED - Age group you were in when you first started using elec,r06r_a_av1020,r06r_a_av1020: derived - age group you were in when you first started using elec
W6,R06_AV1011_01,R06_AV1011_01: Flavor of electronic nicotine product when first started using: T,r06_av1011_01,r06_av1011_01: flavor of electronic nicotine product when first started using: t
W6,R06_AV1011_02,R06_AV1011_02: Flavor of electronic nicotine product when first started using: M,r06_av1011_02,r06_av1011_02: flavor of electronic nicotine product when first started using: m
W6,R06_AV1011_03,R06_AV1011_03: Flavor of electronic nicotine product when first started using: M,r06_av1011_03,r06_av1011_03: flavor of electronic nicotine product when first started using: m
W6,R06_AV1011_04,R06_AV1011_04: Flavor of electronic nicotine product when first started using: C,r06_av1011_04,r06_av1011_04: flavor of electronic nicotine product when first started using: c
W6,R06_AV1011_05,R06_AV1011_05: Flavor of electronic nicotine product when first started using: F,r06_av1011_05,r06_av1011_05: flavor of electronic nicotine product when first started using: f
W6,R06_AV1011_06,R06_AV1011_06: Flavor of electronic nicotine product when first started using: C,r06_av1011_06,r06_av1011_06: flavor of electronic nicotine product when first started using: c
W6,R06_AV1011_07,R06_AV1011_07: Flavor of electronic nicotine product when first started using: A,r06_av1011_07,r06_av1011_07: flavor of electronic nicotine product when first started using: a
W6,R06_AV1011_08,R06_AV1011_08: Flavor of electronic nicotine product when first started using: A,r06_av1011_08,r06_av1011_08: flavor of electronic nicotine product when first started using: a
